year,num_keepers,num_apiaries,num_colonies,keepers_pct_chg,colonies_pct_chg,apiaries_pct_chg
2001,1160,2038,19627,,,
2002,1107,1914,17963,-0.045689655172413746,-0.08478116879808428,-0.06084396467124631
2003,1117,1926,18649,0.009033423667569984,0.03818961198018145,0.006269592476489061
2004,1141,1940,19572,0.0214861235452104,0.04949327041664442,0.007268951194184803
2005,1213,2054,27646,0.06310254163014895,0.4125281013693032,0.05876288659793816
2006,1264,2157,20217,0.042044517724649566,-0.2687188019966722,0.05014605647517034
2007,1329,2216,18821,0.05142405063291133,-0.06905079883266563,0.027352804821511256
2008,1366,2303,19556,0.02784048156508656,0.03905212262897817,0.03925992779783383
2009,1433,2325,19680,0.04904831625183026,0.006340764982613933,0.009552757273121992
2010,1631,2565,20547,0.13817166782972778,0.04405487804878039,0.10322580645161294
2011,1815,2786,21266,0.11281422440220723,0.0349929430087117,0.08615984405458099
2012,1825,2849,21231,0.005509641873278293,-0.001645819618169897,0.022613065326633208
2013,2519,3705,24382,0.38027397260273976,0.14841505345956385,0.30045630045630056
2014,2766,4023,26004,0.09805478364430331,0.06652448527602339,0.08582995951417005
2015,3114,4517,24690,0.12581344902386116,-0.050530687586525125,0.12279393487447177
2016,3522,5136,25339,0.13102119460500972,0.026285945727015037,0.13703785698472437
2017,4009,5652,28864,0.1382737081203862,0.13911361932199373,0.10046728971962615
2018,4308,6000,30017,0.07458219007233735,0.03994595343680718,0.06157112526539277
2019,4551,6202,32268,0.05640668523676884,0.0749908385248359,0.033666666666666734
